source,sink,source_kv,sink_kv,stability_limit,thermal_limit,line_capacity,max_kv,reactance_per_km,reactance_pu,susceptance
ThaTako,Phachi2,500,500,19098,10444,10444,500,0.2326,37.6812,6634
ThaTako,SingBuri,230,230,4264,844,844,230,0.3648,23.712,2230
ThaTako,Thalan3,230,230,2170,844,844,230,0.3648,46.6944,1132
ThatPhanom,Mukdahan,115,115,736,211,211,115,0.3648,17.1456,771
ThaWung,LopBuri1,115,115,2308,422,422,115,0.3648,10.944,1208
ThaWung,SingBuri,115,115,3147,211,211,115,0.3648,4.0128,3295
TheunHinboun,BanVean,230,230,5084,844,844,230,0.3648,19.881600000000002,2660
ThungNaDam,Kanchanaburi2,115,115,1236,211,211,115,0.3648,10.214400000000001,1294
ThungSong,KhlongNgae,230,230,1522,844,844,230,0.3648,66.75840000000001,792
ThungSong,NakhonSiThammarat,230,230,5654,844,844,230,0.3648,17.8752,2959
ThungSong,SuratThani,230,230,2187,844,844,230,0.3648,46.3296,1141
UbolratanaDam,KhonKaen1,115,115,257,211,211,115,0.3648,49.248000000000005,268
UbolratanaDam,NamPhong1,115,115,291,211,211,115,0.3648,43.4112,304
UbonRatchathani1,AmnatCharoen,115,115,474,211,211,115,0.3648,26.6304,496
UbonRatchathani2,Kantharalak,115,115,597,211,211,115,0.3648,21.1584,625
UbonRatchathani2,SiSaKet,115,115,976,422,422,115,0.3648,25.9008,510
UbonRatchathani2,UbonRatchathani1,115,115,3644,422,422,115,0.3648,6.9312000000000005,1908
UdonThani1,NamPhong1,115,115,806,422,422,115,0.3648,31.3728,421
UdonThani1,NongBuaLamPhu,115,115,706,211,211,115,0.3648,17.8752,739
UdonThani1,UdonThani3,115,115,1082,422,422,115,0.3648,23.3472,566
UdonThani2,NamPhong1,115,115,924,422,422,115,0.3648,27.36,483
UdonThani2,NongBuaLamPhu,115,115,1505,422,422,115,0.3648,16.7808,788
UdonThani2,NongKhai,115,115,1649,422,422,115,0.3648,15.3216,863
UdonThani2,UdonThani3,115,115,3010,422,422,115,0.3648,8.3904,1576
UdonThani3,NamPhong1,500,500,21198,6962,6962,500,0.2326,22.5622,11080
UdonThani3,PhangKhon,115,115,787,422,422,115,0.3648,32.1024,411
Uttaradit,Sawankhalok,115,115,692,211,211,115,0.3648,18.240000000000002,725
UWCKomen,Khong,115,115,1731,211,211,115,0.3648,7.296,1812
VajiralongkornDam,SrinagarindDam,230,230,2569,844,844,230,0.3648,39.3984,1342
WangNoi,NongChok,500,500,16048,3481,3481,500,0.2326,14.8864,16793
WangNoi,PluakDaeng,500,500,13217,6962,6962,500,0.2326,36.2856,6889
WangNoi,SaiNoi,500,500,15802,3481,3481,500,0.2326,15.119,16535
WatthanaNakhon,Banteay_Meanchay,115,115,17309,422,422,115,0.3648,1.4592,9063
Xeset1,Sirindhorn,115,115,488,211,211,115,0.3648,25.9008,510
Xeset1,Xeset2,115,115,976,422,422,115,0.3648,25.9008,510
Yala2,Narathiwat,115,115,721,211,211,115,0.3648,17.5104,755
Yala,Narathiwat,115,115,865,211,211,115,0.3648,14.592,906
Yala,Yala2,115,115,4073,422,422,115,0.3648,6.2016,2132
